   T_sec        Uz0001        Uz0002        Uz0003        Uz0004        Uz0005        Uz0006        Uz0007        Uz0008        Uz0009        Uz0010        Uz0011        Uz0012        Uz0013        Uz0014        Uz0015        Uz0016        Uz0017        Uz0018        Uz0019        Uz0020        Uz0021        Uz0022        Uz0023        Uz0024        Uz0025        Uz0026        Uz0027        Uz0028        Uz0029        Uz0030        Uz0031        Uz0032        Uz0033        Uz0034        Uz0035        Uz0036        Uz0037        Uz0038        Uz0039        Uz0040        Uz0041        Uz0042        Uz0043        Uz0044        Uz0045        Uz0046        Uz0047        Uz0048        Uz0049        Uz0050        Uz0051        Uz0052        Uz0053        Uz0054        Uz0055        Uz0056        Uz0057        Uz0058        Uz0059        Uz0060        Uz0061        Uz0062        Uz0063        Uz0064        Uz0065        Uz0066        Uz0067        Uz0068        Uz0069        Uz0070        Uz0071        Uz0072        Uz0073        Uz0074        Uz0075        Uz0076        Uz0077        Uz0078        Uz0079        Uz0080        Uz0081        Uz0082        Uz0083        Uz0084        Uz0085        Uz0086        Uz0087        Uz0088        Uz0089        Uz0090        Uz0091        Uz0092        Uz0093        Uz0094        Uz0095        Uz0096        Uz0097        Uz0098        Uz0099        Uz0100    
   -10.00000 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00 -0.1104E+00
    -9.80431  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00  0.1102E+00
    -9.60861 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00 -0.1180E+00
    -9.41292  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00  0.1239E+00
    -9.21722 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00 -0.1174E+00
    -9.02153  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00  0.1308E+00
    -8.82583 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00 -0.1314E+00
    -8.63014  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00  0.1336E+00
    -8.43444 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00 -0.1363E+00
    -8.23875  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00  0.1503E+00
